epoch,samples,avg_return,avg_rc,neg_rc_ratio,pattern_diversity,time_s
1,512,1.0,0.21864826604097023,0.0,2.3515625,261.21123909950256
2,512,1.0,0.17626607338621825,0.0,2.52734375,154.4467442035675
3,512,1.0,0.19988284332064332,0.0,2.552734375,197.99036860466003
4,512,1.0,0.20242287787535646,0.0,2.37890625,191.1474986076355
5,512,1.0,0.20928765358605111,0.0,2.173828125,152.55646657943726
6,512,1.0,0.2042405466841521,0.0,2.318359375,161.649231672287
7,512,1.0,0.172188942884278,0.0,2.505859375,234.7995240688324
8,512,1.0,0.17007223572550217,0.0,2.68359375,196.70146465301514
9,512,1.0,0.15221185945323928,0.0,2.619140625,170.61211895942688
10,512,1.0,0.16144681713282505,0.0,2.634765625,167.70401883125305
